,date,title,point
0,20181101,보헤미안 랩소디,9.71
1,20181101,미쓰백,9.25
2,20181101,"나, 다니엘 블레이크",9.24
3,20181101,어느 가족,9.23
4,20181101,극장판 헬로카봇 : 백악기 시대,9.23
5,20181101,타인의 삶,9.22
6,20181101,스타 이즈 본,9.19
7,20181101,카메라를 멈추면 안 돼!,9.17
8,20181101,타샤 튜더,9.14
9,20181101,패딩턴 2,9.1
10,20181101,완벽한 타인,9.02
11,20181101,곰돌이 푸 다시 만나 행복해,8.97
12,20181101,액슬,8.95
13,20181101,서치,8.89
14,20181101,소공녀,8.87
15,20181101,미드나잇 선,8.8
16,20181101,신비아파트: 금빛 도깨비와 비밀의 동굴,8.75
17,20181101,맨체스터 바이 더 씨,8.73
18,20181101,"오늘 밤, 로맨스 극장에서",8.4
19,20181101,그랜드 부다페스트 호텔,8.37
20,20181101,암수살인,8.34
21,20181101,죄 많은 소녀,8.22
22,20181101,안시성,8.06
23,20181101,베놈,8.01
24,20181101,올 더 머니,7.98
25,20181101,맥코리아,7.91
26,20181101,당신의 부탁,7.79
27,20181101,박화영,7.79
28,20181101,크레이지 리치 아시안,7.43
29,20181101,명당,7.12
30,20181101,킬링 디어,7.08
31,20181101,퍼스트맨,7.04
32,20181101,원더풀 고스트,6.96
33,20181101,할로윈,6.6
34,20181101,펭귄 하이웨이,6.38
35,20181101,배반의 장미,5.99
36,20181101,창궐,5.69
37,20181102,보헤미안 랩소디,9.7
38,20181102,미쓰백,9.26
39,20181102,"나, 다니엘 블레이크",9.24
40,20181102,어느 가족,9.23
41,20181102,극장판 헬로카봇 : 백악기 시대,9.23
42,20181102,타인의 삶,9.22
43,20181102,스타 이즈 본,9.19
44,20181102,카메라를 멈추면 안 돼!,9.17
45,20181102,타샤 튜더,9.14
46,20181102,패딩턴 2,9.1
47,20181102,완벽한 타인,9.01
48,20181102,곰돌이 푸 다시 만나 행복해,8.97
49,20181102,액슬,8.94
50,20181102,서치,8.89
51,20181102,소공녀,8.87
52,20181102,미드나잇 선,8.8
53,20181102,신비아파트: 금빛 도깨비와 비밀의 동굴,8.75
54,20181102,맨체스터 바이 더 씨,8.73
55,20181102,"오늘 밤, 로맨스 극장에서",8.4
56,20181102,그랜드 부다페스트 호텔,8.37
57,20181102,암수살인,8.34
58,20181102,죄 많은 소녀,8.22
59,20181102,안시성,8.06
60,20181102,베놈,8.01
61,20181102,춘몽,8.0
62,20181102,올 더 머니,7.98
63,20181102,맥코리아,7.91
64,20181102,당신의 부탁,7.79
65,20181102,박화영,7.78
66,20181102,크레이지 리치 아시안,7.44
67,20181102,명당,7.12
68,20181102,킬링 디어,7.08
69,20181102,퍼스트맨,7.03
70,20181102,할로윈,6.53
71,20181102,벽 속에 숨은 마법시계,6.43
72,20181102,펭귄 하이웨이,6.38
73,20181102,배반의 장미,5.95
74,20181102,창궐,5.66
75,20181103,보헤미안 랩소디,9.7
76,20181103,미쓰백,9.26
77,20181103,"나, 다니엘 블레이크",9.24
78,20181103,어느 가족,9.23
79,20181103,극장판 헬로카봇 : 백악기 시대,9.23
80,20181103,바람과 함께 사라지다,9.23
81,20181103,타인의 삶,9.22
82,20181103,스타 이즈 본,9.2
83,20181103,카메라를 멈추면 안 돼!,9.17
84,20181103,타샤 튜더,9.14
85,20181103,패딩턴 2,9.1
86,20181103,곰돌이 푸 다시 만나 행복해,8.97
87,20181103,완벽한 타인,8.95
88,20181103,액슬,8.93
89,20181103,바르다가 사랑한 얼굴들,8.92
90,20181103,서치,8.89
91,20181103,소공녀,8.87
92,20181103,미드나잇 선,8.8
93,20181103,신비아파트: 금빛 도깨비와 비밀의 동굴,8.75
94,20181103,맨체스터 바이 더 씨,8.73
95,20181103,"오늘 밤, 로맨스 극장에서",8.4
96,20181103,그랜드 부다페스트 호텔,8.37
97,20181103,암수살인,8.34
98,20181103,죄 많은 소녀,8.25
99,20181103,안시성,8.06
100,20181103,베놈,8.01
101,20181103,춘몽,8.0
102,20181103,올 더 머니,7.98
103,20181103,맥코리아,7.91
104,20181103,당신의 부탁,7.8
105,20181103,박화영,7.77
106,20181103,크레이지 리치 아시안,7.43
107,20181103,명당,7.12
108,20181103,퍼스트맨,7.03
109,20181103,할로윈,6.51
110,20181103,벽 속에 숨은 마법시계,6.4
111,20181103,펭귄 하이웨이,6.4
112,20181103,배반의 장미,5.92
113,20181103,창궐,5.65
114,20181104,보헤미안 랩소디,9.7
115,20181104,미쓰백,9.26
116,20181104,"나, 다니엘 블레이크",9.24
117,20181104,어느 가족,9.23
118,20181104,극장판 헬로카봇 : 백악기 시대,9.23
119,20181104,바람과 함께 사라지다,9.23
120,20181104,타인의 삶,9.22
121,20181104,스타 이즈 본,9.18
122,20181104,카메라를 멈추면 안 돼!,9.16
123,20181104,타샤 튜더,9.14
124,20181104,패딩턴 2,9.1
125,20181104,완벽한 타인,8.97
126,20181104,곰돌이 푸 다시 만나 행복해,8.97
127,20181104,액슬,8.92
128,20181104,서치,8.89
129,20181104,소공녀,8.87
130,20181104,미드나잇 선,8.8
131,20181104,신비아파트: 금빛 도깨비와 비밀의 동굴,8.75
132,20181104,맨체스터 바이 더 씨,8.73
133,20181104,"오늘 밤, 로맨스 극장에서",8.4
134,20181104,그랜드 부다페스트 호텔,8.37
135,20181104,암수살인,8.34
136,20181104,죄 많은 소녀,8.21
137,20181104,안시성,8.05
138,20181104,베놈,8.01
139,20181104,춘몽,8.0
140,20181104,맥코리아,7.91
141,20181104,당신의 부탁,7.81
142,20181104,박화영,7.77
143,20181104,크레이지 리치 아시안,7.47
144,20181104,명당,7.11
145,20181104,퍼스트맨,7.02
146,20181104,할로윈,6.47
147,20181104,펭귄 하이웨이,6.38
148,20181104,벽 속에 숨은 마법시계,6.37
149,20181104,배반의 장미,5.85
150,20181104,창궐,5.64
151,20181105,보헤미안 랩소디,9.69
152,20181105,미쓰백,9.26
153,20181105,어느 가족,9.23
154,20181105,극장판 헬로카봇 : 백악기 시대,9.23
155,20181105,바람과 함께 사라지다,9.23
156,20181105,스타 이즈 본,9.18
157,20181105,카메라를 멈추면 안 돼!,9.16
158,20181105,타샤 튜더,9.14
159,20181105,패딩턴 2,9.1
160,20181105,곰돌이 푸 다시 만나 행복해,8.97
161,20181105,완벽한 타인,8.93
162,20181105,액슬,8.92
163,20181105,소공녀,8.87
164,20181105,미드나잇 선,8.8
165,20181105,신비아파트: 금빛 도깨비와 비밀의 동굴,8.75
166,20181105,맨체스터 바이 더 씨,8.73
167,20181105,"오늘 밤, 로맨스 극장에서",8.4
168,20181105,그랜드 부다페스트 호텔,8.37
169,20181105,암수살인,8.34
170,20181105,죄 많은 소녀,8.22
171,20181105,안시성,8.05
172,20181105,베놈,8.01
173,20181105,춘몽,8.0
174,20181105,당신의 부탁,7.81
175,20181105,크레이지 리치 아시안,7.48
176,20181105,명당,7.11
177,20181105,퍼스트맨,7.02
178,20181105,할로윈,6.5
179,20181105,벽 속에 숨은 마법시계,6.45
180,20181105,펭귄 하이웨이,6.37
181,20181105,배반의 장미,5.86
182,20181105,창궐,5.63
183,20181106,보헤미안 랩소디,9.68
184,20181106,미쓰백,9.26
185,20181106,바울,9.25
186,20181106,어느 가족,9.23
187,20181106,극장판 헬로카봇 : 백악기 시대,9.23
188,20181106,바람과 함께 사라지다,9.23
189,20181106,스타 이즈 본,9.18
190,20181106,카메라를 멈추면 안 돼!,9.17
191,20181106,타샤 튜더,9.14
192,20181106,패딩턴 2,9.1
193,20181106,곰돌이 푸 다시 만나 행복해,8.98
194,20181106,액슬,8.93
195,20181106,완벽한 타인,8.91
196,20181106,소공녀,8.87
197,20181106,미드나잇 선,8.8
198,20181106,신비아파트: 금빛 도깨비와 비밀의 동굴,8.75
199,20181106,맨체스터 바이 더 씨,8.73
200,20181106,"오늘 밤, 로맨스 극장에서",8.4
201,20181106,신은 죽지 않았다 3: 어둠 속의 빛,8.39
202,20181106,그랜드 부다페스트 호텔,8.37
203,20181106,암수살인,8.34
204,20181106,죄 많은 소녀,8.22
205,20181106,안시성,8.05
206,20181106,베놈,8.01
207,20181106,춘몽,8.0
208,20181106,당신의 부탁,7.81
209,20181106,크레이지 리치 아시안,7.49
210,20181106,명당,7.11
211,20181106,퍼스트맨,7.02
212,20181106,할로윈,6.51
213,20181106,벽 속에 숨은 마법시계,6.44
214,20181106,펭귄 하이웨이,6.37
215,20181106,배반의 장미,5.83
216,20181106,창궐,5.59
217,20181107,보헤미안 랩소디,9.67
218,20181107,원더,9.41
219,20181107,빌리 엘리어트,9.29
220,20181107,바울,9.27
221,20181107,미쓰백,9.26
222,20181107,어느 가족,9.23
223,20181107,극장판 헬로카봇 : 백악기 시대,9.23
224,20181107,바람과 함께 사라지다,9.23
225,20181107,스타 이즈 본,9.17
226,20181107,카메라를 멈추면 안 돼!,9.16
227,20181107,타샤 튜더,9.14
228,20181107,패딩턴 2,9.1
229,20181107,곰돌이 푸 다시 만나 행복해,8.98
230,20181107,액슬,8.91
231,20181107,완벽한 타인,8.89
232,20181107,소공녀,8.87
233,20181107,미드나잇 선,8.8
234,20181107,신비아파트: 금빛 도깨비와 비밀의 동굴,8.75
235,20181107,맨체스터 바이 더 씨,8.73
236,20181107,"오늘 밤, 로맨스 극장에서",8.4
237,20181107,신은 죽지 않았다 3: 어둠 속의 빛,8.39
238,20181107,그랜드 부다페스트 호텔,8.37
239,20181107,암수살인,8.33
240,20181107,죄 많은 소녀,8.22
241,20181107,안시성,8.05
242,20181107,베놈,8.01
243,20181107,춘몽,8.0
244,20181107,당신의 부탁,7.83
245,20181107,크레이지 리치 아시안,7.49
246,20181107,동네사람들,7.22
247,20181107,아가씨,7.1
248,20181107,퍼스트맨,7.0
249,20181107,할로윈,6.55
250,20181107,벽 속에 숨은 마법시계,6.43
251,20181107,펭귄 하이웨이,6.37
252,20181107,배반의 장미,5.75
253,20181107,창궐,5.5
254,20181108,보헤미안 랩소디,9.67
255,20181108,덕구,9.46
256,20181108,원더,9.41
257,20181108,미쓰백,9.26
258,20181108,바울,9.26
259,20181108,어느 가족,9.23
260,20181108,바람과 함께 사라지다,9.23
261,20181108,극장판 헬로카봇 : 백악기 시대,9.23
262,20181108,스타 이즈 본,9.18
263,20181108,카메라를 멈추면 안 돼!,9.16
264,20181108,타샤 튜더,9.14
265,20181108,패딩턴 2,9.1
266,20181108,청설,9.01
267,20181108,곰돌이 푸 다시 만나 행복해,8.98
268,20181108,액슬,8.9
269,20181108,소공녀,8.87
270,20181108,완벽한 타인,8.87
271,20181108,미드나잇 선,8.8
